accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.625,0.43333333333333335,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 4, 1], [0, 1, 1]]",valence,0.4090909090909091,0.625,0.5795454545454546,,,0,,,0.19999999999999996,0.9665673036949484,0.21004201260420147,subject_dependent,rbf_svm,,,0.5384920634920635,0.38888888888888884,0.625,0.5416666666666666,0.43333333333333335,0.625,0.625,0.5404761904761904,,,,
0.5,0.3611111111111111,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 3, 1], [0, 2, 1]]",valence,0.3333333333333333,0.5,0.45,,,1,,,0.05882352941176472,1.0119273454694044,0.06622661785325219,subject_dependent,rbf_svm,,,0.4218253968253968,0.3333333333333333,0.5,0.4375,0.3611111111111111,0.5,0.5,0.3277777777777778,,,,
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.23841115554229303,"[[3, 1], [3, 1]]",valence,0.4666666666666667,0.5,0.4666666666666667,3,0.75,2,1,0.25,0.0,,0.0,subject_dependent,rbf_svm,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,,3,0.75,1,0.25
0.5,0.5333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.267674455634856,"[[2, 3], [1, 2]]",valence,0.5,0.5,0.5,1,0.3333333333333333,3,3,0.6,0.05882352941176472,,0.06666666666666667,subject_dependent,rbf_svm,0.6666666666666666,0.4,,0.5333333333333333,0.5,0.5666666666666667,0.5333333333333333,0.5,0.5,,2,0.4,2,0.6666666666666666
0.5,0.4444444444444444,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 1], [0, 2, 1], [0, 1, 2]]",valence,0.38095238095238093,0.5,0.42857142857142855,,,4,,,0.19999999999999996,1.629578225284805,0.2182178902359924,subject_dependent,rbf_svm,,,0.3181216931216931,0.3333333333333333,0.5,0.375,0.4444444444444444,0.5,0.5,0.2722222222222222,,,,
0.875,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.48372130926468054,"[[7, 0], [1, 0]]",valence,0.4666666666666667,0.875,0.8166666666666667,1,1.0,0,0,0.0,0.0,,0.0,subject_dependent,rbf_svm,0.875,0.0,,0.4375,0.875,0.765625,0.5,0.875,0.875,,7,1.0,0,0.0
0.375,0.21428571428571427,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.41139242227170664,"[[0, 0, 0], [1, 3, 3], [0, 1, 0]]",valence,0.1818181818181818,0.375,0.47727272727272724,,,1,,,-0.21212121212121215,,-0.30348848933344197,subject_dependent,rbf_svm,,,,0.25,0.375,0.65625,0.14285714285714285,0.375,0.375,,,,,
0.5,0.4444444444444444,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 2, 0], [0, 3, 0], [0, 2, 1]]",valence,0.3666666666666667,0.5,0.4125,,,2,,,0.19999999999999996,1.2903372262635942,0.329914439536929,subject_dependent,rbf_svm,,,0.6772486772486772,0.4761904761904762,0.5,0.5357142857142857,0.4444444444444444,0.5,0.5,0.7666666666666666,,,,
0.625,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 2, 2], [0, 0, 3]]",valence,0.44047619047619047,0.625,0.5669642857142857,,,3,,,0.3513513513513513,0.8766420403126073,0.38502677054341,subject_dependent,rbf_svm,,,0.6087962962962963,0.4222222222222222,0.625,0.5583333333333333,0.5,0.625,0.625,0.7293650793650794,,,,
0.75,0.7333333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.5061952126530416,"[[0, 0, 0], [1, 4, 0], [0, 1, 2]]",valence,0.5333333333333333,0.75,0.8,,,4,,,0.5151515151515151,,0.5322906474223771,subject_dependent,rbf_svm,,,,0.6,0.75,0.875,0.48888888888888893,0.75,0.75,,,,,
0.75,0.7777777777777777,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[1, 2, 0], [0, 4, 0], [0, 0, 1]]",valence,0.7666666666666666,0.75,0.7125,,,0,,,0.5555555555555556,0.681898693040514,0.6362847629757777,subject_dependent,rbf_svm,,,0.923611111111111,0.8888888888888888,0.75,0.8333333333333333,0.7777777777777777,0.75,0.75,0.9166666666666666,,,,
1.0,1.0,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 0], [0, 2, 0], [0, 0, 5]]",valence,1.0,1.0,1.0,,,1,,,1.0,0.8839302225490709,1.0,subject_dependent,rbf_svm,,,0.5753968253968254,1.0,1.0,1.0,1.0,1.0,1.0,0.6587301587301587,,,,
0.375,0.4166666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 2, 0], [3, 1, 0], [0, 0, 2]]",valence,0.42857142857142855,0.375,0.39285714285714285,,,2,,,0.04761904761904767,0.846532366762416,0.048795003647426664,subject_dependent,rbf_svm,,,0.6587301587301587,0.4444444444444444,0.375,0.41666666666666663,0.4166666666666667,0.375,0.375,0.7222222222222223,,,,
0.375,0.4444444444444444,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [2, 2, 2], [0, 0, 1]]",valence,0.3,0.375,0.425,,,3,,,0.13043478260869568,1.8950651194260753,0.1860521018838127,subject_dependent,rbf_svm,,,0.5324074074074074,0.4166666666666667,0.375,0.78125,0.4444444444444444,0.375,0.375,0.6507936507936508,,,,
0.75,0.7222222222222222,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [1, 2, 0], [0, 0, 3]]",valence,0.719047619047619,0.75,0.7464285714285714,,,4,,,0.6190476190476191,1.0541390554220755,0.6343350474165466,subject_dependent,rbf_svm,,,0.6296296296296297,0.75,0.75,0.78125,0.7222222222222222,0.75,0.75,0.6833333333333332,,,,
0.25,0.19444444444444442,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [2, 1, 0], [0, 3, 1]]",valence,0.21666666666666667,0.25,0.29375,,,0,,,-0.11627906976744184,0.8925014372563508,-0.1391037210186643,subject_dependent,rbf_svm,,,0.623015873015873,0.39999999999999997,0.25,0.575,0.19444444444444442,0.25,0.25,0.6968253968253969,,,,
